256,1,1,1.2
256,1,2,1.7
256,1,4,3.0
256,1,8,4.6
256,1,16,6.3
256,1,32,9.0
256,1,64,8.6
256,1,128,8.0
256,1,256,0
256,1,512,0
256,1,1024,0
256,2,1,2.2
256,2,2,7.4
256,2,4,9.0
256,2,8,13.0
256,2,16,21.7
256,2,32,19.8
256,2,64,18.1
256,2,128,17.5
256,2,256,0
256,2,512,0
256,2,1024,0
256,4,1,4.3
256,4,2,11.9
256,4,4,30.2
256,4,8,34.9
256,4,16,27.7
256,4,32,18.6
256,4,64,20.4
256,4,128,17.1
256,4,256,0
256,4,512,0
256,4,1024,0
256,8,1,8.3
256,8,2,18.8
256,8,4,55.3
256,8,8,84.5
256,8,16,64.0
256,8,32,45.4
256,8,64,24.0
256,8,128,0
256,8,256,0
256,8,512,0
256,8,1024,0
256,16,1,15.4
256,16,2,40.3
256,16,4,69.2
256,16,8,91.9
256,16,16,118.3
256,16,32,59.7
256,16,64,0
256,16,128,0
256,16,256,0
256,16,512,0
256,16,1024,0
256,32,1,29.9
256,32,2,46.1
256,32,4,44.7
256,32,8,62.3
256,32,16,57.7
256,32,32,0
256,32,64,0
256,32,128,0
256,32,256,0
256,32,512,0
256,32,1024,0
256,64,1,36.2
256,64,2,43.2
256,64,4,42.6
256,64,8,29.7
256,64,16,0
256,64,32,0
256,64,64,0
256,64,128,0
256,64,256,0
256,64,512,0
256,64,1024,0
256,128,1,37.0
256,128,2,42.6
256,128,4,35.5
256,128,8,0
256,128,16,0
256,128,32,0
256,128,64,0
256,128,128,0
256,128,256,0
256,128,512,0
256,128,1024,0
256,256,1,0
256,256,2,0
256,256,4,0
256,256,8,0
256,256,16,0
256,256,32,0
256,256,64,0
256,256,128,0
256,256,256,0
256,256,512,0
256,256,1024,0
256,512,1,0
256,512,2,0
256,512,4,0
256,512,8,0
256,512,16,0
256,512,32,0
256,512,64,0
256,512,128,0
256,512,256,0
256,512,512,0
256,512,1024,0
256,1024,1,0
256,1024,2,0
256,1024,4,0
256,1024,8,0
256,1024,16,0
256,1024,32,0
256,1024,64,0
256,1024,128,0
256,1024,256,0
256,1024,512,0
256,1024,1024,0
512,1,1,1.1
512,1,2,1.6
512,1,4,2.8
512,1,8,4.4
512,1,16,5.3
512,1,32,6.5
512,1,64,6.7
512,1,128,6.5
512,1,256,7.0
512,1,512,0
512,1,1024,0
512,2,1,1.9
512,2,2,6.5
512,2,4,8.7
512,2,8,12.9
512,2,16,18.9
512,2,32,20.2
512,2,64,20.6
512,2,128,18.9
512,2,256,19.1
512,2,512,0
512,2,1024,0
512,4,1,3.7
512,4,2,10.9
512,4,4,28.1
512,4,8,36.7
512,4,16,29.9
512,4,32,21.8
512,4,64,21.7
512,4,128,20.8
512,4,256,0
512,4,512,0
512,4,1024,0
512,8,1,7.3
512,8,2,19.2
512,8,4,57.6
512,8,8,96.8
512,8,16,68.1
512,8,32,47.1
512,8,64,29.4
512,8,128,0
512,8,256,0
512,8,512,0
512,8,1024,0
512,16,1,14.5
512,16,2,40.3
512,16,4,73.9
512,16,8,97.6
512,16,16,127.6
512,16,32,73.5
512,16,64,0
512,16,128,0
512,16,256,0
512,16,512,0
512,16,1024,0
512,32,1,27.9
512,32,2,48.9
512,32,4,53.4
512,32,8,67.5
512,32,16,69.4
512,32,32,0
512,32,64,0
512,32,128,0
512,32,256,0
512,32,512,0
512,32,1024,0
512,64,1,38.6
512,64,2,50.3
512,64,4,51.8
512,64,8,35.4
512,64,16,0
512,64,32,0
512,64,64,0
512,64,128,0
512,64,256,0
512,64,512,0
512,64,1024,0
